Cycle start time,Recovery score %,Resting Heart Rate (bpm),Heart Rate Variability (ms),Day Strain,Energy burned (cal),Sleep performance %,Respiratory rate (rpm)
2026-07-01 06:00:00,90.5,40,102.8,16.3,2990,93.4,13.5
2026-07-02 06:00:00,87.3,42,106.5,15.9,3122,98.2,13.6
2026-07-03 06:00:00,91.2,41,102.8,13.5,3282,91.9,14.2
2026-07-04 06:00:00,95.6,44,132.2,15.1,3443,98.3,13.9
2026-07-05 06:00:00,86.8,42,109.8,15.6,3080,81.5,13.6
2026-07-06 06:00:00,86.8,41,97.3,18.6,3153,95.3,14.0
2026-07-07 06:00:00,95.9,46,119.9,17.2,2923,92.3,13.8
2026-07-08 06:00:00,91.8,43,95.3,13.0,2900,90.8,14.2
2026-07-09 06:00:00,85.7,44,112.5,17.1,3403,92.4,13.5
2026-07-10 06:00:00,90.7,41,86.5,15.7,3539,84.0,13.7
2026-07-11 06:00:00,85.7,42,94.1,15.1,3181,91.1,13.6
2026-07-12 06:00:00,85.7,44,112.4,17.7,3450,93.4,13.2
2026-07-13 06:00:00,89.2,41,118.9,18.6,3290,97.9,13.9
2026-07-14 06:00:00,78.4,44,112.1,18.4,3038,89.9,13.9
