Cycle start time,Recovery score %,Resting Heart Rate (bpm),Heart Rate Variability (ms),Day Strain,Energy burned (cal),Sleep performance %,Respiratory rate (rpm)
2026-07-01 06:30:00,70.0,58,36.1,9.8,1993,80.5,14.7
2026-07-02 06:30:00,68.1,65,38.6,11.5,1842,77.5,15.4
2026-07-03 06:30:00,58.7,57,42.6,7.1,2229,76.7,15.1
2026-07-04 06:30:00,66.6,58,39.0,9.8,2021,77.1,15.6
2026-07-05 06:30:00,67.3,57,32.7,9.9,1771,81.5,15.4
2026-07-06 06:30:00,63.6,54,42.4,10.7,2048,84.0,15.2
2026-07-07 06:30:00,68.7,61,35.6,7.6,1803,83.7,14.8
2026-07-08 06:30:00,73.2,60,44.8,7.5,2068,87.0,14.4
2026-07-09 06:30:00,85.1,60,36.5,10.3,2123,82.1,15.0
2026-07-10 06:30:00,71.4,55,51.3,9.9,1826,90.7,15.6
2026-07-11 06:30:00,72.1,62,37.3,9.9,2094,80.4,15.3
2026-07-12 06:30:00,69.4,53,40.1,10.0,2011,95.0,14.6
2026-07-13 06:30:00,54.6,59,46.9,8.5,2073,85.8,15.3
2026-07-14 06:30:00,69.8,64,34.6,9.8,2234,76.9,15.4
