Cycle start time,Recovery score %,Resting Heart Rate (bpm),Heart Rate Variability (ms),Day Strain,Energy burned (cal),Sleep performance %,Respiratory rate (rpm)
2026-07-01 07:30:00,27.4,78,19.6,5.0,1904,74.3,17.2
2026-07-02 07:30:00,39.8,81,27.4,7.7,1773,43.7,17.6
2026-07-03 07:30:00,38.7,80,22.3,4.8,1467,53.6,18.4
2026-07-04 07:30:00,24.3,79,16.6,6.0,1591,59.3,16.1
2026-07-05 07:30:00,42.3,74,18.4,7.1,1802,72.4,18.8
2026-07-06 07:30:00,44.7,79,25.4,7.8,1565,43.6,15.5
2026-07-07 07:30:00,51.0,72,18.3,4.0,1703,69.6,17.0
2026-07-08 07:30:00,50.6,74,23.1,5.6,1742,58.1,17.6
2026-07-09 07:30:00,21.5,73,22.2,5.3,1538,48.2,17.3
2026-07-10 07:30:00,26.7,76,18.7,5.0,1642,62.6,16.6
2026-07-11 07:30:00,44.2,87,32.0,9.4,1261,60.0,16.9
2026-07-12 07:30:00,44.2,68,25.2,6.9,1527,52.0,16.7
2026-07-13 07:30:00,44.2,79,12.0,3.9,1619,58.7,16.6
2026-07-14 07:30:00,60.0,68,22.9,7.9,1500,54.1,17.8
