Date,Calories Burned,Steps,Distance (km),Resting Heart Rate,Minutes Fat Burn,Minutes Cardio,Minutes Peak,VO2 Max Estimate,SpO2 Avg %
2026-07-01,1432,2046,0.95,78,28,3,0,21.5,95.0
2026-07-02,1337,1709,1.83,80,39,1,0,21.5,91.5
2026-07-03,1480,1702,0.9,83,33,2,0,21.5,91.5
2026-07-04,1427,2294,0.84,79,23,2,0,21.5,91.8
2026-07-05,1473,2171,1.55,78,24,2,0,21.5,90.0
2026-07-06,1456,2166,1.44,82,14,0,0,21.5,91.9
2026-07-07,1325,2387,1.39,82,24,2,0,21.5,91.6
2026-07-08,1349,1809,1.39,79,22,2,0,21.5,92.7
2026-07-09,1467,2106,1.2,80,28,4,0,21.5,92.9
2026-07-10,1454,1660,0.93,82,16,3,0,21.5,94.8
2026-07-11,1398,1945,1.22,76,30,6,0,21.5,93.6
2026-07-12,1410,1741,1.0,76,40,0,0,21.5,91.8
2026-07-13,1514,1843,1.49,79,23,3,0,21.5,91.4
2026-07-14,1346,2067,1.16,81,29,2,0,21.5,93.1
