Date,Calories Burned,Steps,Distance (km),Resting Heart Rate,Minutes Fat Burn,Minutes Cardio,Minutes Peak,VO2 Max Estimate,SpO2 Avg %
2026-07-01,1862,2345,3.33,78,32,2,1,36.0,97.2
2026-07-02,2429,3086,3.18,74,24,5,1,36.0,98.1
2026-07-03,2312,3296,2.18,78,39,4,4,36.0,97.2
2026-07-04,2015,3611,2.79,69,54,4,2,36.0,96.7
2026-07-05,1791,3769,2.62,68,25,7,0,36.0,98.1
2026-07-06,2343,2300,2.98,73,47,8,0,36.0,97.5
2026-07-07,2079,1972,1.82,75,32,2,0,36.0,96.6
2026-07-08,2322,4222,2.64,73,28,2,1,36.0,97.1
2026-07-09,1813,3465,2.83,68,38,3,0,36.0,96.7
2026-07-10,1992,2601,1.42,73,24,0,0,36.0,96.4
2026-07-11,2100,4440,1.71,70,31,0,0,36.0,97.8
2026-07-12,2108,3292,1.28,76,22,10,0,36.0,98.3
2026-07-13,2018,4143,2.17,75,69,11,2,36.0,96.4
2026-07-14,2212,3254,2.66,71,40,4,1,36.0,97.5
