Date,Calories Burned,Steps,Distance (km),Resting Heart Rate,Minutes Fat Burn,Minutes Cardio,Minutes Peak,VO2 Max Estimate,SpO2 Avg %
2026-07-01,2756,14408,11.08,52,115,54,16,52.4,98.8
2026-07-02,2792,15777,9.02,50,151,18,7,52.4,99.0
2026-07-03,2769,10694,10.03,51,127,47,12,52.4,98.7
2026-07-04,2709,15341,11.29,49,103,54,9,52.4,99.3
2026-07-05,2910,12808,9.65,51,134,27,14,52.4,98.2
2026-07-06,2717,15398,10.51,50,101,58,13,52.4,98.0
2026-07-07,2959,12597,13.01,53,69,49,17,52.4,97.8
2026-07-08,2888,10409,10.16,51,89,40,9,52.4,99.1
2026-07-09,2847,10782,12.7,51,72,52,10,52.4,98.8
2026-07-10,2700,14300,9.17,50,102,72,7,52.4,98.5
2026-07-11,2773,14745,12.15,50,110,47,9,52.4,98.6
2026-07-12,3066,12300,13.79,50,143,47,13,52.4,98.0
2026-07-13,3010,15541,7.0,51,116,39,15,52.4,99.5
2026-07-14,2684,10710,9.77,50,105,34,7,52.4,98.6
