startDate,HKQuantityTypeIdentifierHeartRate,HKQuantityTypeIdentifierHeartRateVariabilitySDNN,HKQuantityTypeIdentifierStepCount,HKQuantityTypeIdentifierWalkingAsymmetryPercentage,HKQuantityTypeIdentifierAppleWalkingSteadiness,HKQuantityTypeIdentifierVO2Max,HKQuantityTypeIdentifierOxygenSaturation
2026-07-01 08:00:00,78,18.2,2652,19.13,36.5,24.0,0.938
2026-07-02 08:00:00,82,31.1,2636,18.04,36.3,24.0,0.936
2026-07-03 08:00:00,80,24.4,1181,16.66,31.7,24.0,0.947
2026-07-04 08:00:00,79,23.3,2767,16.75,34.5,24.0,0.944
2026-07-05 08:00:00,73,21.0,2661,18.4,33.0,24.0,0.936
2026-07-06 08:00:00,80,18.4,3217,16.76,45.9,24.0,0.952
2026-07-07 08:00:00,89,28.3,3909,16.22,42.2,24.0,0.929
2026-07-08 08:00:00,86,25.3,3475,18.84,43.7,24.0,0.946
2026-07-09 08:00:00,87,19.8,2638,17.68,41.2,24.0,0.946
2026-07-10 08:00:00,74,19.8,2136,23.31,32.9,24.0,0.937
2026-07-11 08:00:00,72,23.7,4344,11.0,35.6,24.0,0.943
2026-07-12 08:00:00,77,31.7,2835,21.99,40.2,24.0,0.927
2026-07-13 08:00:00,78,24.0,2808,22.49,32.5,24.0,0.949
2026-07-14 08:00:00,84,19.0,2785,11.87,41.2,24.0,0.938
