startDate,HKQuantityTypeIdentifierHeartRate,HKQuantityTypeIdentifierHeartRateVariabilitySDNN,HKQuantityTypeIdentifierStepCount,HKQuantityTypeIdentifierWalkingAsymmetryPercentage,HKQuantityTypeIdentifierAppleWalkingSteadiness,HKQuantityTypeIdentifierVO2Max,HKQuantityTypeIdentifierOxygenSaturation
2026-07-01 08:00:00,80,19.9,4806,1.85,89.5,38.5,0.977
2026-07-02 08:00:00,91,23.3,4543,2.11,88.6,38.5,0.964
2026-07-03 08:00:00,79,20.3,5615,2.31,85.4,38.5,0.976
2026-07-04 08:00:00,74,20.5,4323,1.81,90.1,38.5,0.98
2026-07-05 08:00:00,73,18.9,5849,2.17,86.3,38.5,0.976
2026-07-06 08:00:00,88,19.8,3527,1.8,88.4,38.5,0.954
2026-07-07 08:00:00,75,20.9,6532,1.86,95.7,38.5,0.963
2026-07-08 08:00:00,96,14.9,5919,1.54,87.7,38.5,0.968
2026-07-09 08:00:00,72,16.0,5681,1.73,91.4,38.5,0.969
2026-07-10 08:00:00,95,22.2,6480,1.56,85.9,38.5,0.976
2026-07-11 08:00:00,85,20.5,7232,1.71,87.9,38.5,0.972
2026-07-12 08:00:00,83,19.4,6515,2.52,93.3,38.5,0.957
2026-07-13 08:00:00,80,20.1,3375,1.72,86.1,38.5,0.974
2026-07-14 08:00:00,86,21.0,3992,3.15,93.4,38.5,0.976
