startDate,HKQuantityTypeIdentifierHeartRate,HKQuantityTypeIdentifierHeartRateVariabilitySDNN,HKQuantityTypeIdentifierStepCount,HKQuantityTypeIdentifierWalkingAsymmetryPercentage,HKQuantityTypeIdentifierAppleWalkingSteadiness,HKQuantityTypeIdentifierVO2Max,HKQuantityTypeIdentifierOxygenSaturation
2026-07-01 08:00:00,70,48.2,9936,1.97,91.9,42.0,0.987
2026-07-02 08:00:00,72,48.2,8435,1.34,93.3,42.0,0.977
2026-07-03 08:00:00,71,53.6,9438,1.37,89.8,42.0,0.976
2026-07-04 08:00:00,69,44.9,6417,1.42,92.8,42.0,0.982
2026-07-05 08:00:00,67,48.6,8520,1.1,92.3,42.0,0.977
2026-07-06 08:00:00,61,45.2,9267,1.22,93.0,42.0,0.983
2026-07-07 08:00:00,69,45.4,8298,1.2,92.6,42.0,0.981
2026-07-08 08:00:00,68,46.1,9478,1.27,96.9,42.0,0.972
2026-07-09 08:00:00,69,49.3,7579,1.49,90.7,42.0,0.988
2026-07-10 08:00:00,62,45.1,9891,1.57,90.9,42.0,0.989
2026-07-11 08:00:00,63,55.5,10958,1.97,90.8,42.0,0.977
2026-07-12 08:00:00,72,42.6,7764,1.2,90.9,42.0,0.978
2026-07-13 08:00:00,67,46.9,7665,1.8,90.7,42.0,0.981
2026-07-14 08:00:00,70,45.4,9944,1.44,94.4,42.0,0.982
