Cycle start time,Recovery score %,Resting Heart Rate (bpm),Heart Rate Variability (ms),Day Strain,Energy burned (cal),Sleep performance %,Respiratory rate (rpm)
2026-07-01 07:00:00,30.3,70,27.3,4.2,1619,89.2,17.4
2026-07-02 07:00:00,41.1,76,28.6,4.7,1347,85.2,19.1
2026-07-03 07:00:00,23.6,74,32.8,4.7,1444,81.6,18.2
2026-07-04 07:00:00,18.6,79,24.7,6.1,1537,92.4,18.9
2026-07-05 07:00:00,14.0,74,29.5,4.4,1656,91.3,18.4
2026-07-06 07:00:00,19.2,70,26.4,4.8,1493,87.5,18.5
2026-07-07 07:00:00,24.7,74,28.1,5.1,1444,97.2,18.5
2026-07-08 07:00:00,39.4,76,33.1,4.7,1688,82.6,18.5
2026-07-09 07:00:00,20.9,75,28.8,4.1,1355,80.4,18.6
2026-07-10 07:00:00,26.8,74,28.2,4.7,1280,84.5,19.0
2026-07-11 07:00:00,24.9,76,22.6,5.6,1544,87.8,18.3
2026-07-12 07:00:00,34.5,76,31.0,3.5,1449,89.2,18.6
2026-07-13 07:00:00,45.0,77,30.6,4.6,1397,86.8,18.1
2026-07-14 07:00:00,20.8,74,36.7,3.8,1570,89.8,19.1
